# method=RADIAL_SYMMETRY
# roi=[31, 23, 48, 50]
# auto_polarity=True
# invert=True
# blur_sigma=1.2
# radial_grad_threshold=2.0
# annulus_enabled=True
# annulus_auto=True
# annulus_r_inner_px=0.0
# annulus_r_outer_px=0.0
# annulus_profile_smooth=3
# fps=485.201
# start_frame=0
# end_frame=200
# um_per_px=0.066528
# um_per_px_source=dataset_default
# postprocess_ot3_qc_enabled=True
# postprocess_ot3_q_min=0.0
# postprocess_ot3_jump_max_px=50.0
# postprocess_ot3_drift_enabled=True
# postprocess_ot3_drift_window_s=1.0
# postprocess_ot3_drift_window_frames=485
# postprocess_ot3_lost_frames=0
# postprocess_ot3_lost_fraction=0
frame,t_s,x_px,y_px,quality,peak,lost,lost_reason,x_corr_px,y_corr_px,x_corr_um,y_corr_um
0,0.000000000,49.151943,55.707823,0.152203,1.118034,0,,0.075521876,0.056325682,0.0050243193,0.0037472349
1,0.002061002,49.037612,55.722727,0.150407,1.414214,0,,-0.038809124,0.071229682,-0.0025818934,0.0047387683
2,0.004122003,49.269660,55.602972,0.151104,1.118034,0,,0.19323888,-0.048525318,0.012855796,-0.0032282924
3,0.006183005,49.437037,55.525893,0.148191,1.581139,0,,0.36061588,-0.12560432,0.023991053,-0.0083562041
4,0.008244006,49.272218,55.848408,0.137250,1.581139,0,,0.19579688,0.19691068,0.013025975,0.013100074
5,0.010305008,48.864075,55.629970,0.142729,1.000000,0,,-0.21234612,-0.021527318,-0.014126963,-0.0014321694
6,0.012366009,48.561251,55.658563,0.166934,0.500000,0,,-0.51517012,0.0070656816,-0.034273238,0.00047006566
7,0.014427011,48.841744,55.995999,0.149786,0.500000,0,,-0.23467712,0.34450168,-0.0156126,0.022919008
8,0.016488012,48.914910,55.827355,0.155564,0.500000,0,,-0.16151112,0.17585768,-0.010745012,0.01169946
9,0.018549014,48.856553,55.713131,0.138226,1.118034,0,,-0.21986812,0.061633682,-0.014627387,0.0041003656
10,0.020610015,48.833661,55.574399,0.160042,1.118034,0,,-0.24276012,-0.077098318,-0.016150346,-0.0051291969
