# method=RADIAL_SYMMETRY
# roi=[32, 25, 48, 50]
# auto_polarity=True
# invert=True
# blur_sigma=1.2
# radial_grad_threshold=2.0
# annulus_enabled=True
# annulus_auto=True
# annulus_r_inner_px=0.0
# annulus_r_outer_px=0.0
# annulus_profile_smooth=3
# fps=485.201
# start_frame=0
# end_frame=200
# um_per_px=0.066528
# um_per_px_source=dataset_default
# postprocess_ot3_qc_enabled=True
# postprocess_ot3_q_min=0.0
# postprocess_ot3_jump_max_px=50.0
# postprocess_ot3_drift_enabled=True
# postprocess_ot3_drift_window_s=1.0
# postprocess_ot3_drift_window_frames=485
# postprocess_ot3_lost_frames=0
# postprocess_ot3_lost_fraction=0
frame,t_s,x_px,y_px,quality,peak,lost,lost_reason,x_corr_px,y_corr_px,x_corr_um,y_corr_um
0,0.000000000,49.107959,55.872493,0.153569,0.500000,0,,0.15630671,-0.0036718905,0.010398773,-0.00024428353
1,0.002061002,48.912571,55.848844,0.148965,0.500000,0,,-0.039081289,-0.027320891,-0.0026,-0.0018176042
2,0.004122003,48.923063,56.074256,0.138648,1.000000,0,,-0.028589289,0.19809111,-0.0019019882,0.013178605
3,0.006183005,48.673179,55.958636,0.134665,1.000000,0,,-0.27847329,0.082471109,-0.018526271,0.005486638
4,0.008244006,48.777603,56.062413,0.144420,0.500000,0,,-0.17404929,0.18624811,-0.011579151,0.012390714
5,0.010305008,48.689500,55.689414,0.147924,1.118034,0,,-0.26215229,-0.18675089,-0.017440467,-0.012424163
6,0.012366009,48.677821,55.782268,0.140904,0.707107,0,,-0.27383129,-0.093896891,-0.018217448,-0.0062467723
7,0.014427011,48.617643,55.972947,0.155076,0.707107,0,,-0.33400929,0.096782109,-0.02222097,0.0064387202
8,0.016488012,48.987790,55.914905,0.142087,0.000000,0,,0.036137711,0.038740109,0.0024041697,0.002577302
9,0.018549014,48.698799,56.299882,0.140388,1.000000,0,,-0.25285329,0.42371711,-0.016821824,0.028189052
10,0.020610015,48.780067,56.340172,0.141818,1.000000,0,,-0.17158529,0.46400711,-0.011415226,0.030869465
11,0.022671017,48.498827,55.797979,0.132121,0.500000,0,,-0.45282529,-0.078185891,-0.030125561,-0.0052015509
12,0.024732018,48.886748,55.944944,0.121997,0.500000,0,,-0.064904289,0.068779109,-0.0043179525,0.0045757366
13,0.026793020,48.712465,56.115122,0.143792,1.000000,0,,-0.23918729,0.23895711,-0.015912652,0.015897339
14,0.028854021,48.825710,56.163168,0.125070,0.500000,0,,-0.12594229,0.28700311,-0.0083786886,0.019093743
15,0.030915023,49.063498,56.035645,0.127307,1.000000,0,,0.11184571,0.15948011,0.0074408715,0.010609893
16,0.032976024,49.283684,55.991381,0.154461,0.500000,0,,0.33203171,0.11521611,0.022089406,0.0076650973
17,0.035037026,48.761945,56.087450,0.134010,0.000000,0,,-0.18970729,0.21128511,-0.012620846,0.014056376
18,0.037098027,48.681166,56.005557,0.128953,0.707107,0,,-0.27048629,0.12939211,-0.017994912,0.0086081983
19,0.039159029,48.543008,56.190645,0.148834,0.707107,0,,-0.40864429,0.31448011,-0.027186287,0.020921733
20,0.041220030,48.740279,56.271977,0.120082,0.707107,0,,-0.21137329,0.39581211,-0.014062242,0.026332588
21,0.043281032,48.936655,56.035033,0.133480,0.707107,0,,-0.014997289,0.15886811,-0.00099773961,0.010569178
22,0.045342034,49.272466,55.874047,0.161029,1.118034,0,,0.32081371,-0.0021178905,0.021343095,-0.00014089902
23,0.047403035,48.981664,56.285093,0.144190,0.500000,0,,0.030011711,0.40892811,0.0019966191,0.027205169
24,0.049464037,49.008183,56.230509,0.139778,0.500000,0,,0.056530711,0.35434411,0.0037608752,0.023573805
25,0.051525038,48.790067,56.261578,0.140938,0.500000,0,,-0.16158529,0.38541311,-0.010749946,0.025640763
26,0.053586040,48.860452,56.160910,0.125505,1.118034,0,,-0.091200289,0.28474511,-0.0060673728,0.018943523
27,0.055647041,48.909610,55.913210,0.134252,0.707107,0,,-0.042042289,0.037045109,-0.0027969894,0.002464537
28,0.057708043,49.215679,55.927424,0.145446,1.000000,0,,0.26402671,0.051259109,0.017565169,0.003410166
29,0.059769044,48.513983,56.225619,0.147370,0.500000,0,,-0.43766929,0.34945411,-0.029117262,0.023248483
30,0.061830046,49.083253,55.920329,0.144631,0.500000,0,,0.13160071,0.044164109,0.0087551321,0.0029381499
31,0.063891047,49.063210,56.257555,0.126104,0.500000,0,,0.11155771,0.38139011,0.0074217114,0.025373121
32,0.065952049,48.542959,55.579946,0.144483,0.000000,0,,-0.40869329,-0.29621889,-0.027189547,-0.01970685
33,0.068013050,49.028751,55.772390,0.151444,1.581139,0,,0.077098711,-0.10377489,0.0051292231,-0.0069039359
34,0.070074052,48.921839,55.413808,0.139992,0.500000,0,,-0.029813289,-0.46235689,-0.0019834185,-0.030759679
35,0.072135053,49.234727,55.684942,0.147708,1.000000,0,,0.28307471,-0.19122289,0.018832394,-0.012721676
36,0.074196055,49.065238,55.284025,0.150711,0.000000,0,,0.11358571,-0.59213989,0.0075566302,-0.039393883
37,0.076257056,48.541261,55.689313,0.145685,1.000000,0,,-0.41039129,-0.18685189,-0.027302512,-0.012430883
38,0.078318058,48.544582,55.712071,0.153847,0.707107,0,,-0.40707029,-0.16409389,-0.027081572,-0.010916838
39,0.080379059,49.021375,55.942612,0.138702,1.118034,0,,0.069722711,0.066447109,0.0046385125,0.0044205933
40,0.082440061,48.807483,55.876082,0.133717,0.707107,0,,-0.14416929,-8.2890547e-05,-0.0095912944,-5.5145423e-06
41,0.084501062,48.854503,55.688834,0.156347,1.118034,0,,-0.097149289,-0.18733089,-0.0064631479,-0.012462749
42,0.086562064,48.868037,55.871653,0.133541,0.707107,0,,-0.083615289,-0.0045118905,-0.0055627579,-0.00030016705
43,0.088623065,48.929622,56.026382,0.122023,1.118034,0,,-0.022030289,0.15021711,-0.001465631,0.0099936439
44,0.090684067,48.820798,55.793609,0.131775,0.500000,0,,-0.13085429,-0.082555891,-0.0087054741,-0.0054922783
45,0.092745069,49.264736,56.203870,0.141691,0.000000,0,,0.31308371,0.32770511,0.020828833,0.021801566
46,0.094806070,49.394477,55.631479,0.170328,0.500000,0,,0.44282471,-0.24468589,0.029460242,-0.016278463
47,0.096867072,49.371998,55.630374,0.153788,0.707107,0,,0.42034571,-0.24579089,0.027964759,-0.016351976
48,0.098928073,49.369391,55.805676,0.136285,1.118034,0,,0.41773871,-0.070488891,0.027791321,-0.0046894849
49,0.100989075,49.796029,55.274300,0.161150,0.000000,0,,0.84437671,-0.60186489,0.056174694,-0.040040867
50,0.103050076,49.477815,55.261686,0.148851,1.118034,0,,0.52616271,-0.61447889,0.035004553,-0.040880052
51,0.105111078,49.258795,55.810774,0.129906,0.000000,0,,0.30714271,-0.065390891,0.02043359,-0.0043503252
52,0.107172079,48.865645,55.532308,0.154555,1.118034,0,,-0.086007289,-0.34385689,-0.0057218929,-0.022876111
53,0.109233081,49.332823,55.371939,0.149038,0.707107,0,,0.38117071,-0.50422589,0.025358525,-0.03354514
54,0.111294082,48.845560,56.067222,0.141736,0.500000,0,,-0.10609229,0.19105711,-0.0070581078,0.012710647
55,0.113355084,49.086286,55.751523,0.127710,1.000000,0,,0.13463371,-0.12464189,0.0089569116,-0.0082921757
56,0.115416085,48.793123,56.335236,0.129975,1.118034,0,,-0.15852929,0.45907111,-0.010546637,0.030541083
57,0.117477087,48.856211,55.812589,0.144031,0.707107,0,,-0.095441289,-0.063575891,-0.006349518,-0.0042295768
58,0.119538088,48.780761,55.649249,0.139178,0.500000,0,,-0.17089129,-0.22691589,-0.011369056,-0.01509626
59,0.121599090,48.821148,55.871290,0.144586,0.000000,0,,-0.13050429,-0.0048748905,-0.0086821893,-0.00032431672
60,0.123660091,48.723125,55.680661,0.150021,0.707107,0,,-0.22852729,-0.19550389,-0.015203463,-0.013006483
61,0.125721093,48.942444,55.712025,0.137941,1.000000,0,,-0.0092082886,-0.16413989,-0.00061260902,-0.010919899
62,0.127782094,48.906075,55.600710,0.138893,0.500000,0,,-0.045577289,-0.27545489,-0.0030321659,-0.018325463
63,0.129843096,48.602208,55.762662,0.137112,1.118034,0,,-0.34944429,-0.11350289,-0.02324783,-0.0075511203
64,0.131904097,49.081571,55.469854,0.149039,0.500000,0,,0.12991871,-0.40631089,0.008643232,-0.027031051
65,0.133965099,49.355867,55.265827,0.150265,0.000000,0,,0.40421471,-0.61033789,0.026891596,-0.040604559
66,0.136026101,49.473110,55.664419,0.153792,0.500000,0,,0.52145771,-0.21174589,0.034691539,-0.014087031
67,0.138087102,49.292874,56.014899,0.141571,0.707107,0,,0.34122171,0.13873411,0.022700798,0.0092297028
68,0.140148104,49.186368,55.812849,0.160789,0.500000,0,,0.23471571,-0.063315891,0.015615167,-0.0042122796
69,0.142209105,49.068623,55.772760,0.132688,0.500000,0,,0.11697071,-0.10340489,0.0077818275,-0.0068793206
70,0.144270107,48.914423,55.978086,0.145098,0.500000,0,,-0.037229289,0.10192111,-0.0024767901,0.0067806076
71,0.146331108,49.001200,55.964551,0.147187,1.000000,0,,0.049547711,0.088386109,0.0032963101,0.0058801511
72,0.148392110,48.915139,55.829481,0.130841,1.500000,0,,-0.036513289,-0.046683891,-0.0024291561,-0.0031057859
73,0.150453111,48.704602,55.945670,0.145873,0.707107,0,,-0.24705029,0.069505109,-0.016435762,0.0046240359
74,0.152514113,48.890171,55.675553,0.133103,1.118034,0,,-0.061481289,-0.20061189,-0.0040902272,-0.013346308
75,0.154575114,48.951650,55.888686,0.140083,1.000000,0,,-2.2885572e-06,0.012521109,-1.5225313e-07,0.00083300437
76,0.156636116,49.072370,56.265457,0.150750,0.707107,0,,0.12071771,0.38929211,0.0080311079,0.025898825
77,0.158697117,49.313733,55.993694,0.128154,0.707107,0,,0.36208071,0.11752911,0.024088506,0.0078189766
78,0.160758119,48.994658,56.182476,0.151568,0.500000,0,,0.043005711,0.30631111,0.002861084,0.020378265
79,0.162819120,48.607565,55.737990,0.134047,1.118034,0,,-0.34408729,-0.13817489,-0.022891439,-0.0091924991
80,0.164880122,48.396848,55.952279,0.121416,1.000000,0,,-0.55480429,0.076114109,-0.03691002,0.0050637195
81,0.166941123,48.619097,56.223411,0.136428,0.500000,0,,-0.33255529,0.34724611,-0.022124238,0.023101589
82,0.169002125,48.816318,55.778879,0.148028,0.000000,0,,-0.13533429,-0.097285891,-0.0090035195,-0.0064722357
83,0.171063126,49.053636,55.933318,0.134815,0.707107,0,,0.10198371,0.057153109,0.0067847724,0.0038022821
84,0.173124128,49.327743,55.691760,0.143128,0.707107,0,,0.37609071,-0.18440489,0.025020563,-0.012268089
